  	     |        BMP180        |        | DS18  |    DH21     |
  	     |Temp   Pressure   Alt |  Ph_r  | Temp  | Temp  Humid |
[18:07:20] 25.80, 100830.00, 40.96, 286.00, 0.00, 0.00, 0.00
[18:07:33] 25.80, 100830.00, 41.05, 287.00, 0.00, 0.00, 0.00
[18:07:34] 25.80, 100835.00, 40.71, 287.00, 0.00, 0.00, 0.00
[18:07:35] 25.80, 100832.00, 41.05, 287.00, 0.00, 0.00, 0.00
[18:07:36] 25.80, 100833.00, 40.71, 287.00, 0.00, 0.00, 0.00
[18:07:37] 25.80, 100830.00, 40.96, 286.00, 0.00, 0.00, 0.00
[18:07:39] 25.80, 100831.00, 40.54, 285.00, 0.00, 0.00, 0.00
[18:07:40] 25.80, 100829.00, 41.21, 287.00, 0.00, 0.00, 0.00
[18:07:41] 25.80, 100834.00, 41.05, 290.00, 0.00, 0.00, 0.00
[18:07:42] 25.80, 100834.00, 40.71, 287.00, 0.00, 0.00, 0.00
[18:07:43] 25.80, 100835.00, 41.05, 288.00, 0.00, 0.00, 0.00
[18:07:44] 25.80, 100835.00, 40.71, 286.00, 0.00, 0.00, 0.00
[18:07:45] 25.80, 100833.00, 41.13, 287.00, 0.00, 0.00, 0.00
[18:07:46] 25.80, 100832.00, 41.21, 287.00, 0.00, 0.00, 0.00
[18:07:47] 25.80, 100837.00, 40.63, 287.00, 0.00, 0.00, 0.00
[18:07:49] 25.80, 100830.00, 40.88, 290.00, 0.00, 0.00, 0.00
[18:07:50] 25.80, 100829.00, 41.21, 286.00, 0.00, 0.00, 0.00
[18:07:51] 25.80, 100834.00, 40.96, 288.00, 0.00, 0.00, 0.00
